text,label
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
URGENT: Production server is down!,Critical
Action required immediately to prevent account suspension.,Critical
Critical security vulnerability found in our app.,Critical
Needs your attention right now.,Critical
Please review this pull request before EOD.,High
Deadline for the project is tomorrow.,High
Important update regarding our meeting.,High
Action items from today's sync.,High
Please review this pull request before EOD.,High
Deadline for the project is tomorrow.,High
Important update regarding our meeting.,High
Action items from today's sync.,High
Please review this pull request before EOD.,High
Deadline for the project is tomorrow.,High
Important update regarding our meeting.,High
Action items from today's sync.,High
Please review this pull request before EOD.,High
Deadline for the project is tomorrow.,High
Important update regarding our meeting.,High
Action items from today's sync.,High
Please review this pull request before EOD.,High
Deadline for the project is tomorrow.,High
Important update regarding our meeting.,High
