text,label
Earn $5000 from home easily!,1
Congratulations you won a free iPhone click here,1
Buy cheap generic pharmacy pills without prescription,1
"Your paypal account is restricted, verify now",1
Invest in bitcoin and get rich quick,1
You are the lucky winner of our lottery,1
Lose weight fast with this miracle pill,1
Limited time offer 90% off all designer items,1
Meet hot singles in your area tonight,1
Claim your free amazon gift card now,1
Earn $5000 from home easily!,1
Congratulations you won a free iPhone click here,1
Buy cheap generic pharmacy pills without prescription,1
"Your paypal account is restricted, verify now",1
Invest in bitcoin and get rich quick,1
You are the lucky winner of our lottery,1
Lose weight fast with this miracle pill,1
Limited time offer 90% off all designer items,1
Meet hot singles in your area tonight,1
Claim your free amazon gift card now,1
Earn $5000 from home easily!,1
Congratulations you won a free iPhone click here,1
Buy cheap generic pharmacy pills without prescription,1
"Your paypal account is restricted, verify now",1
Invest in bitcoin and get rich quick,1
You are the lucky winner of our lottery,1
Lose weight fast with this miracle pill,1
Limited time offer 90% off all designer items,1
Meet hot singles in your area tonight,1
Claim your free amazon gift card now,1
Earn $5000 from home easily!,1
Congratulations you won a free iPhone click here,1
Buy cheap generic pharmacy pills without prescription,1
"Your paypal account is restricted, verify now",1
Invest in bitcoin and get rich quick,1
You are the lucky winner of our lottery,1
Lose weight fast with this miracle pill,1
Limited time offer 90% off all designer items,1
Meet hot singles in your area tonight,1
Claim your free amazon gift card now,1
Earn $5000 from home easily!,1
Congratulations you won a free iPhone click here,1
Buy cheap generic pharmacy pills without prescription,1
"Your paypal account is restricted, verify now",1
Invest in bitcoin and get rich quick,1
You are the lucky winner of our lottery,1
Lose weight fast with this miracle pill,1
Limited time offer 90% off all designer items,1
Meet hot singles in your area tonight,1
Claim your free amazon gift card now,1
Earn $5000 from home easily!,1
Congratulations you won a free iPhone click here,1
Buy cheap generic pharmacy pills without prescription,1
"Your paypal account is restricted, verify now",1
Invest in bitcoin and get rich quick,1
You are the lucky winner of our lottery,1
Lose weight fast with this miracle pill,1
Limited time offer 90% off all designer items,1
Meet hot singles in your area tonight,1
Claim your free amazon gift card now,1
Earn $5000 from home easily!,1
Congratulations you won a free iPhone click here,1
Buy cheap generic pharmacy pills without prescription,1
"Your paypal account is restricted, verify now",1
Invest in bitcoin and get rich quick,1
You are the lucky winner of our lottery,1
Lose weight fast with this miracle pill,1
Limited time offer 90% off all designer items,1
Meet hot singles in your area tonight,1
Claim your free amazon gift card now,1
Earn $5000 from home easily!,1
Congratulations you won a free iPhone click here,1
Buy cheap generic pharmacy pills without prescription,1
"Your paypal account is restricted, verify now",1
Invest in bitcoin and get rich quick,1
You are the lucky winner of our lottery,1
Lose weight fast with this miracle pill,1
Limited time offer 90% off all designer items,1
Meet hot singles in your area tonight,1
Claim your free amazon gift card now,1
Earn $5000 from home easily!,1
Congratulations you won a free iPhone click here,1
Buy cheap generic pharmacy pills without prescription,1
"Your paypal account is restricted, verify now",1
Invest in bitcoin and get rich quick,1
You are the lucky winner of our lottery,1
Lose weight fast with this miracle pill,1
Limited time offer 90% off all designer items,1
Meet hot singles in your area tonight,1
Claim your free amazon gift card now,1
Earn $5000 from home easily!,1
Congratulations you won a free iPhone click here,1
